epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.623,1.57509,3.75689,1.27619,0.01504,0.49762,0.0775,0.04072,1.52619,3.86507,1.20272,0.00024543,0.00024543,0.00024543
2,561.831,1.62782,2.63718,1.29852,0.35218,0.1023,0.21004,0.11399,1.63522,3.24257,1.31828,0.000475202,0.000475202,0.000475202
3,833.214,1.64337,2.37613,1.31651,0.39956,0.28838,0.30234,0.1614,1.61344,2.79352,1.29905,0.000679777,0.000679777,0.000679777
4,1121.36,1.52668,2.08043,1.251,0.41927,0.32282,0.33652,0.18415,1.58847,2.5413,1.32626,0.000774013,0.000774013,0.000774013
5,1441.52,1.55124,1.95119,1.25127,0.41879,0.46317,0.39974,0.20258,1.62428,2.15688,1.30096,0.000729018,0.000729018,0.000729018
6,1706.76,1.52468,1.82468,1.24047,0.53593,0.46342,0.44545,0.22857,1.63122,2.07267,1.29568,0.000684022,0.000684022,0.000684022
7,1955.47,1.50095,1.75369,1.2249,0.54852,0.48823,0.52708,0.28853,1.60142,1.9235,1.30936,0.000639027,0.000639027,0.000639027
8,2225.98,1.46328,1.64178,1.2068,0.60343,0.5042,0.5265,0.28545,1.59333,1.91571,1.31748,0.000594031,0.000594031,0.000594031
9,2491.44,1.44501,1.55309,1.20015,0.58314,0.52176,0.56129,0.32034,1.56342,1.87334,1.29745,0.000549036,0.000549036,0.000549036
10,2750.52,1.43065,1.58227,1.19064,0.64308,0.546,0.5823,0.32967,1.54569,1.8128,1.2817,0.00050404,0.00050404,0.00050404
11,3002.32,1.3958,1.65631,1.1861,0.62133,0.52516,0.57456,0.33021,1.52269,1.74357,1.27913,0.000459045,0.000459045,0.000459045
12,3267.12,1.3519,1.47347,1.16933,0.72575,0.52758,0.62249,0.35923,1.52343,1.66666,1.28653,0.000414049,0.000414049,0.000414049
13,3563.98,1.33741,1.44705,1.16245,0.70782,0.61743,0.65801,0.38397,1.48468,1.51875,1.26491,0.000369054,0.000369054,0.000369054
14,3789.91,1.32854,1.3518,1.14558,0.71189,0.58304,0.64547,0.3757,1.49664,1.5604,1.26679,0.000324058,0.000324058,0.000324058
15,4023.23,1.29893,1.35508,1.13775,0.77436,0.62419,0.67892,0.40161,1.4983,1.47749,1.26144,0.000279063,0.000279063,0.000279063
16,4246.64,1.28175,1.31204,1.12519,0.725,0.63722,0.69053,0.40498,1.5008,1.42111,1.24983,0.000234068,0.000234068,0.000234068
17,4460.59,1.2873,1.26443,1.12393,0.70933,0.67474,0.71025,0.42104,1.47109,1.37578,1.22396,0.000189072,0.000189072,0.000189072
18,4676.57,1.23963,1.21862,1.10156,0.75201,0.66472,0.71249,0.41785,1.48491,1.37248,1.24329,0.000144077,0.000144077,0.000144077
19,4889.75,1.23964,1.20031,1.10368,0.72469,0.67288,0.70943,0.42076,1.46898,1.34677,1.23263,9.9081e-05,9.9081e-05,9.9081e-05
20,5105.64,1.21283,1.15901,1.0895,0.78593,0.65385,0.72335,0.43483,1.45592,1.33301,1.23043,5.40855e-05,5.40855e-05,5.40855e-05
